market,date_cet,area,contractName,contractId,deliveryStartUTC,deliveryEndUTC,deliveryStartCET,deliveryEndCET,vwap,volume,priceUnit,volumeUnit
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-86,NX_574166,2026-03-01T20:15:00Z,2026-03-01T20:30:00Z,2026-03-01T21:15:00+01:00,2026-03-01T21:30:00+01:00,36.43,1361.1,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-87,NX_574168,2026-03-01T20:30:00Z,2026-03-01T20:45:00Z,2026-03-01T21:30:00+01:00,2026-03-01T21:45:00+01:00,31.73,1203.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-88,NX_574169,2026-03-01T20:45:00Z,2026-03-01T21:00:00Z,2026-03-01T21:45:00+01:00,2026-03-01T22:00:00+01:00,25.27,1451.4,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-89,NX_574172,2026-03-01T21:00:00Z,2026-03-01T21:15:00Z,2026-03-01T22:00:00+01:00,2026-03-01T22:15:00+01:00,33.61,587.7,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-90,NX_574173,2026-03-01T21:15:00Z,2026-03-01T21:30:00Z,2026-03-01T22:15:00+01:00,2026-03-01T22:30:00+01:00,20.29,577.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-91,NX_574175,2026-03-01T21:30:00Z,2026-03-01T21:45:00Z,2026-03-01T22:30:00+01:00,2026-03-01T22:45:00+01:00,53.83,197.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-92,NX_574176,2026-03-01T21:45:00Z,2026-03-01T22:00:00Z,2026-03-01T22:45:00+01:00,2026-03-01T23:00:00+01:00,43.94,222.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-93,NX_574179,2026-03-01T22:00:00Z,2026-03-01T22:15:00Z,2026-03-01T23:00:00+01:00,2026-03-01T23:15:00+01:00,44.84,76.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-94,NX_574180,2026-03-01T22:15:00Z,2026-03-01T22:30:00Z,2026-03-01T23:15:00+01:00,2026-03-01T23:30:00+01:00,40.56,52.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-95,NX_574182,2026-03-01T22:30:00Z,2026-03-01T22:45:00Z,2026-03-01T23:30:00+01:00,2026-03-01T23:45:00+01:00,43.15,74.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-96,NX_574183,2026-03-01T22:45:00Z,2026-03-01T23:00:00Z,2026-03-01T23:45:00+01:00,2026-03-02T00:00:00+01:00,10.26,66.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-01,NX_573989,2026-02-28T23:00:00Z,2026-02-28T23:15:00Z,2026-03-01T00:00:00+01:00,2026-03-01T00:15:00+01:00,49.37,2985.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-02,NX_573990,2026-02-28T23:15:00Z,2026-02-28T23:30:00Z,2026-03-01T00:15:00+01:00,2026-03-01T00:30:00+01:00,48.1,2893.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-03,NX_573992,2026-02-28T23:30:00Z,2026-02-28T23:45:00Z,2026-03-01T00:30:00+01:00,2026-03-01T00:45:00+01:00,44.0,3295.6,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-04,NX_573993,2026-02-28T23:45:00Z,2026-03-01T00:00:00Z,2026-03-01T00:45:00+01:00,2026-03-01T01:00:00+01:00,36.29,3364.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-05,NX_573996,2026-03-01T00:00:00Z,2026-03-01T00:15:00Z,2026-03-01T01:00:00+01:00,2026-03-01T01:15:00+01:00,38.81,3292.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-06,NX_573997,2026-03-01T00:15:00Z,2026-03-01T00:30:00Z,2026-03-01T01:15:00+01:00,2026-03-01T01:30:00+01:00,38.29,3507.4,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-07,NX_573999,2026-03-01T00:30:00Z,2026-03-01T00:45:00Z,2026-03-01T01:30:00+01:00,2026-03-01T01:45:00+01:00,42.88,4627.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-08,NX_574000,2026-03-01T00:45:00Z,2026-03-01T01:00:00Z,2026-03-01T01:45:00+01:00,2026-03-01T02:00:00+01:00,41.5,4528.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-09,NX_574003,2026-03-01T01:00:00Z,2026-03-01T01:15:00Z,2026-03-01T02:00:00+01:00,2026-03-01T02:15:00+01:00,44.34,3658.6,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-10,NX_574004,2026-03-01T01:15:00Z,2026-03-01T01:30:00Z,2026-03-01T02:15:00+01:00,2026-03-01T02:30:00+01:00,42.24,3565.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-11,NX_574006,2026-03-01T01:30:00Z,2026-03-01T01:45:00Z,2026-03-01T02:30:00+01:00,2026-03-01T02:45:00+01:00,42.18,4227.9,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-12,NX_574007,2026-03-01T01:45:00Z,2026-03-01T02:00:00Z,2026-03-01T02:45:00+01:00,2026-03-01T03:00:00+01:00,42.55,4158.7,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-13,NX_574010,2026-03-01T02:00:00Z,2026-03-01T02:15:00Z,2026-03-01T03:00:00+01:00,2026-03-01T03:15:00+01:00,41.35,4727.4,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-14,NX_574011,2026-03-01T02:15:00Z,2026-03-01T02:30:00Z,2026-03-01T03:15:00+01:00,2026-03-01T03:30:00+01:00,42.7,3910.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-15,NX_574013,2026-03-01T02:30:00Z,2026-03-01T02:45:00Z,2026-03-01T03:30:00+01:00,2026-03-01T03:45:00+01:00,47.58,3868.7,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,GER,QH-20260301-16,NX_574014,2026-03-01T02:45:00Z,2026-03-01T03:00:00Z,2026-03-01T03:45:00+01:00,2026-03-01T04:00:00+01:00,50.78,3874.8,EUR/MWh,MW
